all,index,ttype,item,frq,norm,rel,fpm
0,0,Domain,3.2.3 Coastal Engineering,1103,8029114,86.3,38.54482016500049
1,1,Domain,2.7.1 Meteorology,438,5589511,49.2,15.306102658449875
2,2,Domain,2.10 Oceanography,369,2719430,85.2,12.894867308146129
3,3,Domain,2.7.2 Climatology,330,4349125,47.7,11.53199515362662
4,4,Domain,2.2.2 Botany,173,970774,112.0,6.045561095689107
5,5,Domain,2.8 Ecology,148,547780,169.7,5.171925099202241
6,6,Domain,3.3  Agricultural Engineering,136,1093207,78.2,4.752579820888546
7,7,Domain,3.5.1 Renewable Energy,123,525951,146.9,4.298289102715375
8,8,Domain,3.2.2 Hydraulic Engineering,110,760612,90.9,3.843998384542206
9,9,Domain,2.4 Geology,93,1094583,53.4,3.249925906931138
10,10,Domain,1 Environmental protection,79,485115,102.3,2.760689748898493
11,11,Domain,2.5 Hydrology,75,739519,63.7,2.620907989460595
12,12,Domain,3.1 Marine Engineering,62,505707,77.0,2.166617271287425
13,13,Domain,2.2.3 Zoology,57,329275,108.8,1.9918900719900523
14,14,Domain,3.5 Energy Engineering,47,473854,62.3,1.6424356733953063
15,15,Domain,3.2.4 Mining Engineering,47,324782,90.9,1.6424356733953063
16,16,Domain,2.6 Chemistry,45,581404,48.6,1.572544793676357
17,17,Domain,2.9 Soil sciences,44,422574,65.4,1.5375993538168824
18,18,Domain,3.2.5.3 Air Quality Management,33,907725,22.8,1.153199515362662
19,19,Domain,1.1 Environmental law,33,225016,92.1,1.153199515362662
20,20,Domain,2.2.5 Molecular biology,24,284012,53.1,0.8386905566273904
21,21,Domain,2.1 Geography,20,375122,33.5,0.698908797189492
22,22,Domain,3.2.5.2 Water Treatment and Supply,18,736879,15.3,0.6290179174705428
23,23,Domain,0 General,12,2664184,2.8,0.4193452783136952
24,24,Domain,1.2 Environmental education,12,12742,591.7,0.4193452783136952
25,25,Domain,3.2.5 Environmental Engineering,10,245307,25.6,0.349454398594746
26,26,Domain,2.2.4 Microbiology,9,22173,255.0,0.3145089587352714
27,27,Domain,3.2.5.1 Waste Management,6,325639,11.6,0.2096726391568476
28,28,Domain,2.3 Physics,6,104251,36.2,0.2096726391568476
29,29,Domain,3.2.5.4 Soil Quality Management,5,16152,194.5,0.174727199297373
30,30,Domain,3.2.1 Transport and Infrastructure Engineering,5,272124,11.5,0.174727199297373
31,31,Domain,2.8.1 Human Ecology,5,27266,115.2,0.174727199297373
32,32,Domain,===NONE===,4,6851,366.8,0.13978175943789842
33,33,Domain,2.2 Biology,3,99475,18.9,0.1048363195784238
34,34,Domain,3.4 Chemical Engineering,3,165478,11.4,0.1048363195784238
35,35,Domain,1.3 Sustainable tourism,1,10369,60.6,0.034945439859474604
36,0,Genre,article,1565,8456874,193.7,54.68961338007775
37,1,Genre,others,159,233182,713.6,5.556324937656461
38,2,Genre,divulgative website,144,142072,1060.7,5.0321433397643425
39,3,Genre,book,99,5791440,17.9,3.4595985460879852
40,4,Genre,report,99,1462420,70.8,3.4595985460879852
41,5,Genre,news,60,70096,895.8,2.0967263915684757
42,6,Genre,lexicographical material,55,6617944,8.7,1.921999192271103
43,7,Genre,leaflet,11,12375,930.2,0.3843998384542206
44,8,Genre,thesis,8,315243,26.6,0.27956351887579683
45,9,Genre,===NONE===,4,6851,611.0,0.13978175943789842
46,10,Genre,law,4,43576,96.1,0.13978175943789842
47,11,Genre,patent,4,16920,247.4,0.13978175943789842
48,12,Genre,mail list,2,453,4620.3,0.06989087971894921
49,0,Editor,Academic/Research/Educative,1467,11838572,129.7,51.26496027384924
50,1,Editor,Bussiness and NGOs,321,7710982,43.6,11.217486194891347
51,2,Editor,Goverment,155,1735621,93.5,5.416543178218563
52,3,Editor,Other,146,913716,167.2,5.102034219483292
53,4,Editor,unknown,121,963704,131.4,4.228398222996426
54,5,Editor,===NONE===,4,6851,611.0,0.13978175943789842
55,0,User,Expert,1695,13056666,135.9,59.23252056180945
56,1,User,Semi-expert,279,6639248,44.0,9.749777720793412
57,2,User,General public,207,3280179,66.0,7.233706050911243
58,3,User,unknown,29,186502,162.7,1.0134177559247635
59,4,User,===NONE===,4,6851,611.0,0.13978175943789842
